Territory X Date,target
Benin X 2020/05/19,2
Bhutan X 2020/05/13,0
Bhutan X 2020/05/14,0
Bhutan X 2020/05/15,0
Bhutan X 2020/05/16,0
Bhutan X 2020/05/17,0
Bhutan X 2020/05/18,0
Bhutan X 2020/05/19,0
Bosnia and Herzegovina X 2020/05/13,120
Bosnia and Herzegovina X 2020/05/14,122
Bosnia and Herzegovina X 2020/05/15,128
Bosnia and Herzegovina X 2020/05/16,129
Bosnia and Herzegovina X 2020/05/17,133
Bosnia and Herzegovina X 2020/05/18,133
Bosnia and Herzegovina X 2020/05/19,134
Botswana X 2020/05/13,1
Botswana X 2020/05/14,1
Botswana X 2020/05/15,1
Botswana X 2020/05/16,1
Botswana X 2020/05/17,1
Botswana X 2020/05/18,1
Botswana X 2020/05/19,1
Brazil X 2020/05/13,13158
Brazil X 2020/05/14,13993
Brazil X 2020/05/15,14817
Brazil X 2020/05/16,15633
Brazil X 2020/05/17,16118
Brazil X 2020/05/18,16839
Brazil X 2020/05/19,17971
Bulgaria X 2020/05/13,96
Bulgaria X 2020/05/14,99
Bulgaria X 2020/05/15,102
Bulgaria X 2020/05/16,105
Bulgaria X 2020/05/17,108
Bulgaria X 2020/05/18,110
Bulgaria X 2020/05/19,112
Burkina Faso X 2020/05/13,51
Burkina Faso X 2020/05/14,51
Burkina Faso X 2020/05/15,51
Burkina Faso X 2020/05/16,51
Burkina Faso X 2020/05/17,51
Burkina Faso X 2020/05/18,51
Burkina Faso X 2020/05/19,51
Burundi X 2020/05/13,1
Burundi X 2020/05/14,1
Burundi X 2020/05/15,1
Burundi X 2020/05/16,1
Burundi X 2020/05/17,1
Burundi X 2020/05/18,1
Burundi X 2020/05/19,1
Cambodia X 2020/05/13,0
Cambodia X 2020/05/14,0
Cambodia X 2020/05/15,0
Cambodia X 2020/05/16,0
Cambodia X 2020/05/17,0
Cambodia X 2020/05/18,0
Cambodia X 2020/05/19,0
Cameroon X 2020/05/13,136
Cameroon X 2020/05/14,139
Cameroon X 2020/05/15,139
Cameroon X 2020/05/16,140
Cameroon X 2020/05/17,140
Cameroon X 2020/05/18,140
Cameroon X 2020/05/19,140
Canada X 2020/05/13,5302
Canada X 2020/05/14,5472
Canada X 2020/05/15,5562
Canada X 2020/05/16,5679
Canada X 2020/05/17,5782
Canada X 2020/05/18,5842
Canada X 2020/05/19,5912
Chad X 2020/05/13,42
Chad X 2020/05/14,46
Chad X 2020/05/15,48
Chad X 2020/05/16,50
Chad X 2020/05/17,53
Chad X 2020/05/18,53
Chad X 2020/05/19,56
Chile X 2020/05/13,346
Chile X 2020/05/14,368
Chile X 2020/05/15,394
Chile X 2020/05/16,421
Chile X 2020/05/17,450
Chile X 2020/05/18,478
Chile X 2020/05/19,509
China X 2020/05/13,4633
China X 2020/05/14,4633
China X 2020/05/15,4633
China X 2020/05/16,4633
China X 2020/05/17,4633
China X 2020/05/18,4634
China X 2020/05/19,4634
Colombia X 2020/05/13,509
Colombia X 2020/05/14,525
Colombia X 2020/05/15,546
Colombia X 2020/05/16,562
Colombia X 2020/05/17,574
Colombia X 2020/05/18,592
Colombia X 2020/05/19,613
Costa Rica X 2020/05/13,7
Costa Rica X 2020/05/14,8
Costa Rica X 2020/05/15,9
Costa Rica X 2020/05/16,10
Costa Rica X 2020/05/17,10
Costa Rica X 2020/05/18,10
Costa Rica X 2020/05/19,10
Croatia X 2020/05/13,94
Croatia X 2020/05/14,94
Croatia X 2020/05/15,95
Croatia X 2020/05/16,95
Croatia X 2020/05/17,95
Croatia X 2020/05/18,95
Croatia X 2020/05/19,96
Cuba X 2020/05/13,79
Cuba X 2020/05/14,79
Cuba X 2020/05/15,79
Cuba X 2020/05/16,79
Cuba X 2020/05/17,79
Cuba X 2020/05/18,79
Cuba X 2020/05/19,79
Cyprus X 2020/05/13,17
Cyprus X 2020/05/14,17
Cyprus X 2020/05/15,17
Cyprus X 2020/05/16,17
Cyprus X 2020/05/17,17
Cyprus X 2020/05/18,17
Cyprus X 2020/05/19,17
Denmark X 2020/05/13,533
Denmark X 2020/05/14,537
Denmark X 2020/05/15,537
Denmark X 2020/05/16,543
Denmark X 2020/05/17,547
Denmark X 2020/05/18,548
Denmark X 2020/05/19,551
Djibouti X 2020/05/13,3
Djibouti X 2020/05/14,3
Djibouti X 2020/05/15,4
Djibouti X 2020/05/16,4
Djibouti X 2020/05/17,4
Djibouti X 2020/05/18,7
Djibouti X 2020/05/19,7
Dominica X 2020/05/13,0
Dominica X 2020/05/14,0
Dominica X 2020/05/15,0
Dominica X 2020/05/16,0
Dominica X 2020/05/17,0
Dominica X 2020/05/18,0
Dominica X 2020/05/19,0
Ecuador X 2020/05/13,2334
Ecuador X 2020/05/14,2338
Ecuador X 2020/05/15,2594
Ecuador X 2020/05/16,2688
Ecuador X 2020/05/17,2736
Ecuador X 2020/05/18,2799
Ecuador X 2020/05/19,2839
Egypt X 2020/05/13,556
Egypt X 2020/05/14,571
Egypt X 2020/05/15,592
Egypt X 2020/05/16,612
Egypt X 2020/05/17,630
Egypt X 2020/05/18,645
Egypt X 2020/05/19,659
El Salvador X 2020/05/13,20
El Salvador X 2020/05/14,23
El Salvador X 2020/05/15,23
El Salvador X 2020/05/16,26
El Salvador X 2020/05/17,27
El Salvador X 2020/05/18,30
El Salvador X 2020/05/19,30
Equatorial Guinea X 2020/05/13,6
Equatorial Guinea X 2020/05/14,7
Equatorial Guinea X 2020/05/15,7
Equatorial Guinea X 2020/05/16,7
Equatorial Guinea X 2020/05/17,7
Equatorial Guinea X 2020/05/18,7
Equatorial Guinea X 2020/05/19,7
Eritrea X 2020/05/13,0
Eritrea X 2020/05/14,0
Eritrea X 2020/05/15,0
Eritrea X 2020/05/16,0
Eritrea X 2020/05/17,0
Eritrea X 2020/05/18,0
Eritrea X 2020/05/19,0
Estonia X 2020/05/13,61
Estonia X 2020/05/14,62
Estonia X 2020/05/15,63
Estonia X 2020/05/16,63
Estonia X 2020/05/17,63
Estonia X 2020/05/18,64
Estonia X 2020/05/19,64
Ethiopia X 2020/05/13,5
Ethiopia X 2020/05/14,5
Ethiopia X 2020/05/15,5
Ethiopia X 2020/05/16,5
Ethiopia X 2020/05/17,5
Ethiopia X 2020/05/18,5
Ethiopia X 2020/05/19,5
Fiji X 2020/05/13,0
Fiji X 2020/05/14,0
Fiji X 2020/05/15,0
Fiji X 2020/05/16,0
Fiji X 2020/05/17,0
Fiji X 2020/05/18,0
Fiji X 2020/05/19,0
Finland X 2020/05/13,284
Finland X 2020/05/14,287
Finland X 2020/05/15,293
Finland X 2020/05/16,297
Finland X 2020/05/17,298
Finland X 2020/05/18,300
Finland X 2020/05/19,301
France X 2020/05/13,27074
France X 2020/05/14,27425
France X 2020/05/15,27529
France X 2020/05/16,27625
France X 2020/05/17,28108
France X 2020/05/18,28239
France X 2020/05/19,28022
Gabon X 2020/05/13,9
Gabon X 2020/05/14,10
Gabon X 2020/05/15,10
Gabon X 2020/05/16,11
Gabon X 2020/05/17,11
Gabon X 2020/05/18,11
Gabon X 2020/05/19,12
Georgia X 2020/05/13,11
Georgia X 2020/05/14,12
Georgia X 2020/05/15,12
Georgia X 2020/05/16,12
Georgia X 2020/05/17,12
Georgia X 2020/05/18,12
Georgia X 2020/05/19,12
Germany X 2020/05/13,7861
Germany X 2020/05/14,7928
Germany X 2020/05/15,8001
Germany X 2020/05/16,8027
Germany X 2020/05/17,8049
Germany X 2020/05/18,8123
Germany X 2020/05/19,8193
Ghana X 2020/05/13,24
Ghana X 2020/05/14,24
Ghana X 2020/05/15,28
Ghana X 2020/05/16,29
Ghana X 2020/05/17,29
Ghana X 2020/05/18,29
Ghana X 2020/05/19,31
Greece X 2020/05/13,155
Greece X 2020/05/14,156
Greece X 2020/05/15,160
Greece X 2020/05/16,162
Greece X 2020/05/17,163
Greece X 2020/05/18,165
Greece X 2020/05/19,165
Grenada X 2020/05/13,0
Grenada X 2020/05/14,0
Grenada X 2020/05/15,0
Grenada X 2020/05/16,0
Grenada X 2020/05/17,0
Grenada X 2020/05/18,0
Grenada X 2020/05/19,0
Guatemala X 2020/05/13,27
Guatemala X 2020/05/14,29
Guatemala X 2020/05/15,29
Guatemala X 2020/05/16,30
Guatemala X 2020/05/17,33
Guatemala X 2020/05/18,35
Guatemala X 2020/05/19,38
Guinea X 2020/05/13,14
Guinea X 2020/05/14,15
Guinea X 2020/05/15,15
Guinea X 2020/05/16,16
Guinea X 2020/05/17,16
Guinea X 2020/05/18,16
Guinea X 2020/05/19,18
Guinea-Bissau X 2020/05/13,3
Guinea-Bissau X 2020/05/14,3
Guinea-Bissau X 2020/05/15,3
Guinea-Bissau X 2020/05/16,4
Guinea-Bissau X 2020/05/17,4
Guinea-Bissau X 2020/05/18,4
Guinea-Bissau X 2020/05/19,6
Guyana X 2020/05/13,10
Guyana X 2020/05/14,10
Guyana X 2020/05/15,10
Guyana X 2020/05/16,10
Guyana X 2020/05/17,10
Guyana X 2020/05/18,10
Guyana X 2020/05/19,10
Haiti X 2020/05/13,18
Haiti X 2020/05/14,18
Haiti X 2020/05/15,20
Haiti X 2020/05/16,20
Haiti X 2020/05/17,20
Haiti X 2020/05/18,21
Haiti X 2020/05/19,21
Honduras X 2020/05/13,121
Honduras X 2020/05/14,123
Honduras X 2020/05/15,133
Honduras X 2020/05/16,134
Honduras X 2020/05/17,138
Honduras X 2020/05/18,142
Honduras X 2020/05/19,146
Hungary X 2020/05/13,430
Hungary X 2020/05/14,436
Hungary X 2020/05/15,442
Hungary X 2020/05/16,448
Hungary X 2020/05/17,451
Hungary X 2020/05/18,462
Hungary X 2020/05/19,467
Iceland X 2020/05/13,10
Iceland X 2020/05/14,10
Iceland X 2020/05/15,10
Iceland X 2020/05/16,10
Iceland X 2020/05/17,10
Iceland X 2020/05/18,10
Iceland X 2020/05/19,10
India X 2020/05/13,2551
India X 2020/05/14,2649
India X 2020/05/15,2753
India X 2020/05/16,2871
India X 2020/05/17,3025
India X 2020/05/18,3156
India X 2020/05/19,3302
Indonesia X 2020/05/13,1028
Indonesia X 2020/05/14,1043
Indonesia X 2020/05/15,1076
Indonesia X 2020/05/16,1089
Indonesia X 2020/05/17,1148
Indonesia X 2020/05/18,1191
Indonesia X 2020/05/19,1221
Iraq X 2020/05/13,115
Iraq X 2020/05/14,115
Iraq X 2020/05/15,117
Iraq X 2020/05/16,121
Iraq X 2020/05/17,123
Iraq X 2020/05/18,127
Iraq X 2020/05/19,131
Ireland X 2020/05/13,1497
Ireland X 2020/05/14,1506
Ireland X 2020/05/15,1518
Ireland X 2020/05/16,1533
Ireland X 2020/05/17,1543
Ireland X 2020/05/18,1547
Ireland X 2020/05/19,1561
Israel X 2020/05/13,264
Israel X 2020/05/14,265
Israel X 2020/05/15,266
Israel X 2020/05/16,268
Israel X 2020/05/17,272
Israel X 2020/05/18,276
Israel X 2020/05/19,278
Italy X 2020/05/13,31106
Italy X 2020/05/14,31368
Italy X 2020/05/15,31610
Italy X 2020/05/16,31763
Italy X 2020/05/17,31908
Italy X 2020/05/18,32007
Italy X 2020/05/19,32169
Jamaica X 2020/05/13,9
Jamaica X 2020/05/14,9
Jamaica X 2020/05/15,9
Jamaica X 2020/05/16,9
Jamaica X 2020/05/17,9
Jamaica X 2020/05/18,9
Jamaica X 2020/05/19,9
Japan X 2020/05/13,657
Japan X 2020/05/14,678
Japan X 2020/05/15,713
Japan X 2020/05/16,713
Japan X 2020/05/17,744
Japan X 2020/05/18,749
Japan X 2020/05/19,749
Jordan X 2020/05/13,9
Jordan X 2020/05/14,9
Jordan X 2020/05/15,9
Jordan X 2020/05/16,9
Jordan X 2020/05/17,9
Jordan X 2020/05/18,9
Jordan X 2020/05/19,9
Kazakhstan X 2020/05/13,32
Kazakhstan X 2020/05/14,32
Kazakhstan X 2020/05/15,34
Kazakhstan X 2020/05/16,34
Kazakhstan X 2020/05/17,34
Kazakhstan X 2020/05/18,35
Kazakhstan X 2020/05/19,35
Kenya X 2020/05/13,40
Kenya X 2020/05/14,42
Kenya X 2020/05/15,45
Kenya X 2020/05/16,50
Kenya X 2020/05/17,50
Kenya X 2020/05/18,50
Kenya X 2020/05/19,50
Kuwait X 2020/05/13,82
Kuwait X 2020/05/14,88
Kuwait X 2020/05/15,96
Kuwait X 2020/05/16,107
Kuwait X 2020/05/17,112
Kuwait X 2020/05/18,118
Kuwait X 2020/05/19,121
Kyrgyzstan X 2020/05/13,12
Kyrgyzstan X 2020/05/14,12
Kyrgyzstan X 2020/05/15,14
Kyrgyzstan X 2020/05/16,14
Kyrgyzstan X 2020/05/17,14
Kyrgyzstan X 2020/05/18,14
Kyrgyzstan X 2020/05/19,14
Latvia X 2020/05/13,19
Latvia X 2020/05/14,19
Latvia X 2020/05/15,19
Latvia X 2020/05/16,19
Latvia X 2020/05/17,19
Latvia X 2020/05/18,19
Latvia X 2020/05/19,21
Lebanon X 2020/05/13,26
Lebanon X 2020/05/14,26
Lebanon X 2020/05/15,26
Lebanon X 2020/05/16,26
Lebanon X 2020/05/17,26
Lebanon X 2020/05/18,26
Lebanon X 2020/05/19,26
Lesotho X 2020/05/13,0
Lesotho X 2020/05/14,0
Lesotho X 2020/05/15,0
Lesotho X 2020/05/16,0
Lesotho X 2020/05/17,0
Lesotho X 2020/05/18,0
Lesotho X 2020/05/19,0
Liberia X 2020/05/13,20
Liberia X 2020/05/14,20
Liberia X 2020/05/15,20
Liberia X 2020/05/16,20
Liberia X 2020/05/17,21
Liberia X 2020/05/18,22
Liberia X 2020/05/19,23
Libya X 2020/05/13,3
Libya X 2020/05/14,3
Libya X 2020/05/15,3
Libya X 2020/05/16,3
Libya X 2020/05/17,3
Libya X 2020/05/18,3
Libya X 2020/05/19,3
Liechtenstein X 2020/05/13,1
Liechtenstein X 2020/05/14,1
Liechtenstein X 2020/05/15,1
Liechtenstein X 2020/05/16,1
Liechtenstein X 2020/05/17,1
Liechtenstein X 2020/05/18,1
Liechtenstein X 2020/05/19,1
Lithuania X 2020/05/13,54
Lithuania X 2020/05/14,54
Lithuania X 2020/05/15,54
Lithuania X 2020/05/16,55
Lithuania X 2020/05/17,56
Lithuania X 2020/05/18,59
Lithuania X 2020/05/19,60
Luxembourg X 2020/05/13,103
Luxembourg X 2020/05/14,103
Luxembourg X 2020/05/15,104
Luxembourg X 2020/05/16,104
Luxembourg X 2020/05/17,107
Luxembourg X 2020/05/18,107
Luxembourg X 2020/05/19,109
Madagascar X 2020/05/13,0
Madagascar X 2020/05/14,0
Madagascar X 2020/05/15,0
Madagascar X 2020/05/16,0
Madagascar X 2020/05/17,1
Madagascar X 2020/05/18,1
Madagascar X 2020/05/19,2
Malawi X 2020/05/13,3
Malawi X 2020/05/14,3
Malawi X 2020/05/15,3
Malawi X 2020/05/16,3
Malawi X 2020/05/17,3
Malawi X 2020/05/18,3
Malawi X 2020/05/19,3
Malaysia X 2020/05/13,111
Malaysia X 2020/05/14,112
Malaysia X 2020/05/15,112
Malaysia X 2020/05/16,113
Malaysia X 2020/05/17,113
Malaysia X 2020/05/18,113
Malaysia X 2020/05/19,114
Maldives X 2020/05/13,4
Maldives X 2020/05/14,4
Maldives X 2020/05/15,4
Maldives X 2020/05/16,4
Maldives X 2020/05/17,4
Maldives X 2020/05/18,4
Maldives X 2020/05/19,4
Mali X 2020/05/13,44
Mali X 2020/05/14,46
Mali X 2020/05/15,46
Mali X 2020/05/16,48
Mali X 2020/05/17,52
Mali X 2020/05/18,52
Mali X 2020/05/19,53
Malta X 2020/05/13,6
Malta X 2020/05/14,6
Malta X 2020/05/15,6
Malta X 2020/05/16,6
Malta X 2020/05/17,6
Malta X 2020/05/18,6
Malta X 2020/05/19,6
Mauritania X 2020/05/13,2
Mauritania X 2020/05/14,2
Mauritania X 2020/05/15,3
Mauritania X 2020/05/16,4
Mauritania X 2020/05/17,4
Mauritania X 2020/05/18,4
Mauritania X 2020/05/19,4
Mauritius X 2020/05/13,10
Mauritius X 2020/05/14,10
Mauritius X 2020/05/15,10
Mauritius X 2020/05/16,10
Mauritius X 2020/05/17,10
Mauritius X 2020/05/18,10
Mauritius X 2020/05/19,10
Mexico X 2020/05/13,3926
Mexico X 2020/05/14,4220
Mexico X 2020/05/15,4477
Mexico X 2020/05/16,4767
Mexico X 2020/05/17,5045
Mexico X 2020/05/18,5177
Mexico X 2020/05/19,5332
Monaco X 2020/05/13,4
Monaco X 2020/05/14,4
Monaco X 2020/05/15,4
Monaco X 2020/05/16,4
Monaco X 2020/05/17,4
Monaco X 2020/05/18,4
Monaco X 2020/05/19,4
Mongolia X 2020/05/13,0
Mongolia X 2020/05/14,0
Mongolia X 2020/05/15,0
Mongolia X 2020/05/16,0
Mongolia X 2020/05/17,0
Mongolia X 2020/05/18,0
Mongolia X 2020/05/19,0
Morocco X 2020/05/13,188
Morocco X 2020/05/14,190
Morocco X 2020/05/15,190
Morocco X 2020/05/16,192
Morocco X 2020/05/17,192
Morocco X 2020/05/18,192
Morocco X 2020/05/19,193
Mozambique X 2020/05/13,0
Mozambique X 2020/05/14,0
Mozambique X 2020/05/15,0
Mozambique X 2020/05/16,0
Mozambique X 2020/05/17,0
Mozambique X 2020/05/18,0
Mozambique X 2020/05/19,0
Namibia X 2020/05/13,0
Namibia X 2020/05/14,0
Namibia X 2020/05/15,0
Namibia X 2020/05/16,0
Namibia X 2020/05/17,0
Namibia X 2020/05/18,0
Namibia X 2020/05/19,0
Nepal X 2020/05/13,0
Nepal X 2020/05/14,0
Nepal X 2020/05/15,0
Nepal X 2020/05/16,1
Nepal X 2020/05/17,2
Nepal X 2020/05/18,2
Nepal X 2020/05/19,2
New Zealand X 2020/05/13,21
New Zealand X 2020/05/14,21
New Zealand X 2020/05/15,21
New Zealand X 2020/05/16,21
New Zealand X 2020/05/17,21
New Zealand X 2020/05/18,21
New Zealand X 2020/05/19,21
Nicaragua X 2020/05/13,8
Nicaragua X 2020/05/14,8
Nicaragua X 2020/05/15,8
Nicaragua X 2020/05/16,8
Nicaragua X 2020/05/17,8
Nicaragua X 2020/05/18,8
Nicaragua X 2020/05/19,17
Nigeria X 2020/05/13,158
Nigeria X 2020/05/14,167
Nigeria X 2020/05/15,171
Nigeria X 2020/05/16,176
Nigeria X 2020/05/17,182
Nigeria X 2020/05/18,191
Nigeria X 2020/05/19,192
Norway X 2020/05/13,229
Norway X 2020/05/14,232
Norway X 2020/05/15,232
Norway X 2020/05/16,232
Norway X 2020/05/17,232
Norway X 2020/05/18,233
Norway X 2020/05/19,233
Oman X 2020/05/13,17
Oman X 2020/05/14,18
Oman X 2020/05/15,20
Oman X 2020/05/16,21
Oman X 2020/05/17,22
Oman X 2020/05/18,25
Oman X 2020/05/19,27
Pakistan X 2020/05/13,761
Pakistan X 2020/05/14,770
Pakistan X 2020/05/15,803
Pakistan X 2020/05/16,834
Pakistan X 2020/05/17,873
Pakistan X 2020/05/18,903
Pakistan X 2020/05/19,939
Panama X 2020/05/13,252
Panama X 2020/05/14,256
Panama X 2020/05/15,260
Panama X 2020/05/16,266
Panama X 2020/05/17,269
Panama X 2020/05/18,275
Panama X 2020/05/19,281
Papua New Guinea X 2020/05/13,0
Papua New Guinea X 2020/05/14,0
Papua New Guinea X 2020/05/15,0
Papua New Guinea X 2020/05/16,0
Papua New Guinea X 2020/05/17,0
Papua New Guinea X 2020/05/18,0
Papua New Guinea X 2020/05/19,0
Paraguay X 2020/05/13,11
Paraguay X 2020/05/14,11
Paraguay X 2020/05/15,11
Paraguay X 2020/05/16,11
Paraguay X 2020/05/17,11
Paraguay X 2020/05/18,11
Paraguay X 2020/05/19,11
Peru X 2020/05/13,2169
Peru X 2020/05/14,2267
Peru X 2020/05/15,2392
Peru X 2020/05/16,2523
Peru X 2020/05/17,2648
Peru X 2020/05/18,2789
Peru X 2020/05/19,2914
Poland X 2020/05/13,861
Poland X 2020/05/14,883
Poland X 2020/05/15,907
Poland X 2020/05/16,915
Poland X 2020/05/17,925
Poland X 2020/05/18,936
Poland X 2020/05/19,948
Portugal X 2020/05/13,1175
Portugal X 2020/05/14,1184
Portugal X 2020/05/15,1190
Portugal X 2020/05/16,1203
Portugal X 2020/05/17,1218
Portugal X 2020/05/18,1231
Portugal X 2020/05/19,1247
Qatar X 2020/05/13,14
Qatar X 2020/05/14,14
Qatar X 2020/05/15,14
Qatar X 2020/05/16,15
Qatar X 2020/05/17,15
Qatar X 2020/05/18,15
Qatar X 2020/05/19,15
Romania X 2020/05/13,1036
Romania X 2020/05/14,1053
Romania X 2020/05/15,1070
Romania X 2020/05/16,1094
Romania X 2020/05/17,1107
Romania X 2020/05/18,1120
Romania X 2020/05/19,1137
Rwanda X 2020/05/13,0
Rwanda X 2020/05/14,0
Rwanda X 2020/05/15,0
Rwanda X 2020/05/16,0
Rwanda X 2020/05/17,0
Rwanda X 2020/05/18,0
Rwanda X 2020/05/19,0
Saint Kitts and Nevis X 2020/05/13,0
Saint Kitts and Nevis X 2020/05/14,0
Saint Kitts and Nevis X 2020/05/15,0
Saint Kitts and Nevis X 2020/05/16,0
Saint Kitts and Nevis X 2020/05/17,0
Saint Kitts and Nevis X 2020/05/18,0
Saint Kitts and Nevis X 2020/05/19,0
Saint Lucia X 2020/05/13,0
Saint Lucia X 2020/05/14,0
Saint Lucia X 2020/05/15,0
Saint Lucia X 2020/05/16,0
Saint Lucia X 2020/05/17,0
Saint Lucia X 2020/05/18,0
Saint Lucia X 2020/05/19,0
Saint Vincent and the Grenadines X 2020/05/13,0
Saint Vincent and the Grenadines X 2020/05/14,0
Saint Vincent and the Grenadines X 2020/05/15,0
Saint Vincent and the Grenadines X 2020/05/16,0
Saint Vincent and the Grenadines X 2020/05/17,0
Saint Vincent and the Grenadines X 2020/05/18,0
Saint Vincent and the Grenadines X 2020/05/19,0
San Marino X 2020/05/13,41
San Marino X 2020/05/14,41
San Marino X 2020/05/15,41
San Marino X 2020/05/16,41
San Marino X 2020/05/17,41
San Marino X 2020/05/18,41
San Marino X 2020/05/19,41
Saudi Arabia X 2020/05/13,273
Saudi Arabia X 2020/05/14,283
Saudi Arabia X 2020/05/15,292
Saudi Arabia X 2020/05/16,302
Saudi Arabia X 2020/05/17,312
Saudi Arabia X 2020/05/18,320
Saudi Arabia X 2020/05/19,329
Senegal X 2020/05/13,21
Senegal X 2020/05/14,23
Senegal X 2020/05/15,25
Senegal X 2020/05/16,25
Senegal X 2020/05/17,25
Senegal X 2020/05/18,26
Senegal X 2020/05/19,30
Seychelles X 2020/05/13,0
Seychelles X 2020/05/14,0
Seychelles X 2020/05/15,0
Seychelles X 2020/05/16,0
Seychelles X 2020/05/17,0
Seychelles X 2020/05/18,0
Seychelles X 2020/05/19,0
Sierra Leone X 2020/05/13,26
Sierra Leone X 2020/05/14,26
Sierra Leone X 2020/05/15,27
Sierra Leone X 2020/05/16,29
Sierra Leone X 2020/05/17,32
Sierra Leone X 2020/05/18,33
Sierra Leone X 2020/05/19,33
Singapore X 2020/05/13,21
Singapore X 2020/05/14,21
Singapore X 2020/05/15,21
Singapore X 2020/05/16,22
Singapore X 2020/05/17,22
Singapore X 2020/05/18,22
Singapore X 2020/05/19,22
Slovakia X 2020/05/13,27
Slovakia X 2020/05/14,27
Slovakia X 2020/05/15,27
Slovakia X 2020/05/16,28
Slovakia X 2020/05/17,28
Slovakia X 2020/05/18,28
Slovakia X 2020/05/19,28
Slovenia X 2020/05/13,103
Slovenia X 2020/05/14,103
Slovenia X 2020/05/15,103
Slovenia X 2020/05/16,103
Slovenia X 2020/05/17,104
Slovenia X 2020/05/18,104
Slovenia X 2020/05/19,104
Somalia X 2020/05/13,52
Somalia X 2020/05/14,53
Somalia X 2020/05/15,53
Somalia X 2020/05/16,55
Somalia X 2020/05/17,56
Somalia X 2020/05/18,57
Somalia X 2020/05/19,59
South Africa X 2020/05/13,219
South Africa X 2020/05/14,238
South Africa X 2020/05/15,247
South Africa X 2020/05/16,261
South Africa X 2020/05/17,264
South Africa X 2020/05/18,286
South Africa X 2020/05/19,312
South Sudan X 2020/05/13,0
South Sudan X 2020/05/14,0
South Sudan X 2020/05/15,4
