Territory X Date,confirmed,recovered,death,cov_year,cov_month,cov_day,Continent_C,Continent_F,Continent_M,Continent_S,Continent_U,Pop_Bin_very low pop,Pop_Bin_low pop,Pop_Bin_high pop,Pop_Bin_very high pop
Andorra X 04/28/20,743,398,41,2020,4,28,0,0,0,0,1,0,0,1,0
Andorra X 04/29/20,743,423,42,2020,4,29,0,0,0,0,1,0,0,1,0
Andorra X 04/30/20,745,468,42,2020,4,30,0,0,0,0,1,0,0,1,0
Andorra X 05/01/20,745,468,43,2020,5,1,0,0,0,0,1,0,0,1,0
Andorra X 05/02/20,747,472,44,2020,5,2,0,0,0,0,1,0,0,1,0
Andorra X 05/03/20,748,493,45,2020,5,3,0,0,0,0,1,0,0,1,0
Andorra X 05/04/20,750,499,45,2020,5,4,0,0,0,0,1,0,0,1,0
Andorra X 05/05/20,751,514,46,2020,5,5,0,0,0,0,1,0,0,1,0
Andorra X 05/06/20,751,521,46,2020,5,6,0,0,0,0,1,0,0,1,0
Andorra X 05/07/20,752,526,47,2020,5,7,0,0,0,0,1,0,0,1,0
Andorra X 05/08/20,752,537,47,2020,5,8,0,0,0,0,1,0,0,1,0
Andorra X 05/09/20,754,545,48,2020,5,9,0,0,0,0,1,0,0,1,0
Andorra X 05/10/20,755,550,48,2020,5,10,0,0,0,0,1,0,0,1,0
Andorra X 05/11/20,755,550,48,2020,5,11,0,0,0,0,1,0,0,1,0
Andorra X 05/12/20,758,568,48,2020,5,12,0,0,0,0,1,0,0,1,0
Andorra X 05/13/20,760,576,49,2020,5,13,0,0,0,0,1,0,0,1,0
Andorra X 05/14/20,761,596,49,2020,5,14,0,0,0,0,1,0,0,1,0
Andorra X 05/15/20,761,604,49,2020,5,15,0,0,0,0,1,0,0,1,0
Andorra X 05/16/20,761,615,51,2020,5,16,0,0,0,0,1,0,0,1,0
Andorra X 05/17/20,761,617,51,2020,5,17,0,0,0,0,1,0,0,1,0
Andorra X 05/18/20,761,624,51,2020,5,18,0,0,0,0,1,0,0,1,0
Andorra X 05/19/20,761,628,51,2020,5,19,0,0,0,0,1,0,0,1,0
United Arab Emirates (the) X 01/22/20,0,0,0,2020,1,22,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/23/20,0,0,0,2020,1,23,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/24/20,0,0,0,2020,1,24,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/25/20,0,0,0,2020,1,25,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/26/20,0,0,0,2020,1,26,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/27/20,0,0,0,2020,1,27,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/28/20,0,0,0,2020,1,28,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/29/20,4,0,0,2020,1,29,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/30/20,4,0,0,2020,1,30,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 01/31/20,4,0,0,2020,1,31,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/01/20,4,0,0,2020,2,1,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/02/20,5,0,0,2020,2,2,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/03/20,5,0,0,2020,2,3,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/04/20,5,0,0,2020,2,4,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/05/20,5,0,0,2020,2,5,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/06/20,5,0,0,2020,2,6,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/07/20,5,0,0,2020,2,7,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/08/20,7,0,0,2020,2,8,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/09/20,7,0,0,2020,2,9,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/10/20,8,0,0,2020,2,10,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/11/20,8,0,0,2020,2,11,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/12/20,8,1,0,2020,2,12,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/13/20,8,1,0,2020,2,13,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/14/20,8,1,0,2020,2,14,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/15/20,8,3,0,2020,2,15,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/16/20,9,4,0,2020,2,16,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/17/20,9,4,0,2020,2,17,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/18/20,9,4,0,2020,2,18,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/19/20,9,4,0,2020,2,19,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/20/20,9,4,0,2020,2,20,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/21/20,9,4,0,2020,2,21,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/22/20,13,4,0,2020,2,22,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/23/20,13,4,0,2020,2,23,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/24/20,13,4,0,2020,2,24,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/25/20,13,4,0,2020,2,25,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/26/20,13,4,0,2020,2,26,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/27/20,13,4,0,2020,2,27,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/28/20,19,5,0,2020,2,28,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 02/29/20,21,5,0,2020,2,29,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/01/20,21,5,0,2020,3,1,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/02/20,21,5,0,2020,3,2,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/03/20,27,5,0,2020,3,3,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/04/20,27,5,0,2020,3,4,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/05/20,29,5,0,2020,3,5,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/06/20,29,5,0,2020,3,6,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/07/20,45,7,0,2020,3,7,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/08/20,45,7,0,2020,3,8,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/09/20,45,7,0,2020,3,9,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/10/20,74,12,0,2020,3,10,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/11/20,74,17,0,2020,3,11,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/12/20,85,17,0,2020,3,12,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/13/20,85,17,0,2020,3,13,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/14/20,85,17,0,2020,3,14,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/15/20,98,23,0,2020,3,15,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/16/20,98,23,0,2020,3,16,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/17/20,98,23,0,2020,3,17,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/18/20,113,26,0,2020,3,18,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/19/20,140,31,0,2020,3,19,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/20/20,140,31,2,2020,3,20,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/21/20,153,38,2,2020,3,21,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/22/20,153,38,2,2020,3,22,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/23/20,198,41,2,2020,3,23,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/24/20,248,45,2,2020,3,24,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/25/20,333,52,2,2020,3,25,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/26/20,333,52,2,2020,3,26,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/27/20,405,52,2,2020,3,27,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/28/20,468,52,2,2020,3,28,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/29/20,570,58,3,2020,3,29,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/30/20,611,61,5,2020,3,30,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 03/31/20,664,61,6,2020,3,31,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/01/20,814,61,8,2020,4,1,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/02/20,1024,96,8,2020,4,2,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/03/20,1264,108,9,2020,4,3,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/04/20,1505,125,10,2020,4,4,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/05/20,1799,144,10,2020,4,5,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/06/20,2076,167,11,2020,4,6,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/07/20,2359,186,12,2020,4,7,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/08/20,2659,239,12,2020,4,8,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/09/20,2990,268,14,2020,4,9,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/10/20,3360,418,16,2020,4,10,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/11/20,3736,588,20,2020,4,11,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/12/20,4123,680,22,2020,4,12,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/13/20,4521,852,25,2020,4,13,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/14/20,4933,933,28,2020,4,14,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/15/20,5365,1034,33,2020,4,15,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/16/20,5825,1095,35,2020,4,16,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/17/20,6302,1188,37,2020,4,17,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/18/20,6302,1188,37,2020,4,18,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/19/20,6781,1286,41,2020,4,19,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/20/20,7265,1360,43,2020,4,20,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/21/20,7755,1443,46,2020,4,21,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/22/20,8238,1546,52,2020,4,22,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/23/20,8756,1637,56,2020,4,23,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/24/20,9281,1760,64,2020,4,24,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/25/20,9813,1887,71,2020,4,25,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/26/20,10349,1978,76,2020,4,26,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/27/20,10839,2090,82,2020,4,27,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/28/20,11380,2181,89,2020,4,28,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/29/20,11929,2329,98,2020,4,29,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 04/30/20,12481,2429,105,2020,4,30,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/01/20,13038,2543,111,2020,5,1,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/02/20,13599,2664,119,2020,5,2,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/03/20,14163,2763,126,2020,5,3,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/04/20,14730,2966,137,2020,5,4,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/05/20,15192,3153,146,2020,5,5,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/06/20,15738,3359,157,2020,5,6,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/07/20,16240,3572,165,2020,5,7,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/08/20,16793,3837,174,2020,5,8,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/09/20,17417,4295,185,2020,5,9,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/10/20,18198,4804,198,2020,5,10,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/11/20,18878,5381,201,2020,5,11,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/12/20,19661,6012,203,2020,5,12,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/13/20,20386,6523,206,2020,5,13,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/14/20,21084,6930,208,2020,5,14,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/15/20,21831,7328,210,2020,5,15,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/16/20,22627,7931,214,2020,5,16,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/17/20,23358,8512,220,2020,5,17,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/18/20,24190,9577,224,2020,5,18,0,0,0,1,0,0,0,1,0
United Arab Emirates (the) X 05/19/20,25063,10791,227,2020,5,19,0,0,0,1,0,0,0,1,0
Afghanistan X 01/22/20,0,0,0,2020,1,22,0,0,0,1,0,0,0,1,0
Afghanistan X 01/23/20,0,0,0,2020,1,23,0,0,0,1,0,0,0,1,0
Afghanistan X 01/24/20,0,0,0,2020,1,24,0,0,0,1,0,0,0,1,0
Afghanistan X 01/25/20,0,0,0,2020,1,25,0,0,0,1,0,0,0,1,0
Afghanistan X 01/26/20,0,0,0,2020,1,26,0,0,0,1,0,0,0,1,0
Afghanistan X 01/27/20,0,0,0,2020,1,27,0,0,0,1,0,0,0,1,0
Afghanistan X 01/28/20,0,0,0,2020,1,28,0,0,0,1,0,0,0,1,0
Afghanistan X 01/29/20,0,0,0,2020,1,29,0,0,0,1,0,0,0,1,0
Afghanistan X 01/30/20,0,0,0,2020,1,30,0,0,0,1,0,0,0,1,0
Afghanistan X 01/31/20,0,0,0,2020,1,31,0,0,0,1,0,0,0,1,0
Afghanistan X 02/01/20,0,0,0,2020,2,1,0,0,0,1,0,0,0,1,0
Afghanistan X 02/02/20,0,0,0,2020,2,2,0,0,0,1,0,0,0,1,0
Afghanistan X 02/03/20,0,0,0,2020,2,3,0,0,0,1,0,0,0,1,0
Afghanistan X 02/04/20,0,0,0,2020,2,4,0,0,0,1,0,0,0,1,0
Afghanistan X 02/05/20,0,0,0,2020,2,5,0,0,0,1,0,0,0,1,0
Afghanistan X 02/06/20,0,0,0,2020,2,6,0,0,0,1,0,0,0,1,0
Afghanistan X 02/07/20,0,0,0,2020,2,7,0,0,0,1,0,0,0,1,0
Afghanistan X 02/08/20,0,0,0,2020,2,8,0,0,0,1,0,0,0,1,0
Afghanistan X 02/09/20,0,0,0,2020,2,9,0,0,0,1,0,0,0,1,0
Afghanistan X 02/10/20,0,0,0,2020,2,10,0,0,0,1,0,0,0,1,0
Afghanistan X 02/11/20,0,0,0,2020,2,11,0,0,0,1,0,0,0,1,0
Afghanistan X 02/12/20,0,0,0,2020,2,12,0,0,0,1,0,0,0,1,0
Afghanistan X 02/13/20,0,0,0,2020,2,13,0,0,0,1,0,0,0,1,0
Afghanistan X 02/14/20,0,0,0,2020,2,14,0,0,0,1,0,0,0,1,0
Afghanistan X 02/15/20,0,0,0,2020,2,15,0,0,0,1,0,0,0,1,0
Afghanistan X 02/16/20,0,0,0,2020,2,16,0,0,0,1,0,0,0,1,0
Afghanistan X 02/17/20,0,0,0,2020,2,17,0,0,0,1,0,0,0,1,0
Afghanistan X 02/18/20,0,0,0,2020,2,18,0,0,0,1,0,0,0,1,0
Afghanistan X 02/19/20,0,0,0,2020,2,19,0,0,0,1,0,0,0,1,0
Afghanistan X 02/20/20,0,0,0,2020,2,20,0,0,0,1,0,0,0,1,0
Afghanistan X 02/21/20,0,0,0,2020,2,21,0,0,0,1,0,0,0,1,0
Afghanistan X 02/22/20,0,0,0,2020,2,22,0,0,0,1,0,0,0,1,0
Afghanistan X 02/23/20,0,0,0,2020,2,23,0,0,0,1,0,0,0,1,0
Afghanistan X 02/24/20,1,0,0,2020,2,24,0,0,0,1,0,0,0,1,0
Afghanistan X 02/25/20,1,0,0,2020,2,25,0,0,0,1,0,0,0,1,0
Afghanistan X 02/26/20,1,0,0,2020,2,26,0,0,0,1,0,0,0,1,0
Afghanistan X 02/27/20,1,0,0,2020,2,27,0,0,0,1,0,0,0,1,0
Afghanistan X 02/28/20,1,0,0,2020,2,28,0,0,0,1,0,0,0,1,0
Afghanistan X 02/29/20,1,0,0,2020,2,29,0,0,0,1,0,0,0,1,0
Afghanistan X 03/01/20,1,0,0,2020,3,1,0,0,0,1,0,0,0,1,0
Afghanistan X 03/02/20,1,0,0,2020,3,2,0,0,0,1,0,0,0,1,0
Afghanistan X 03/03/20,1,0,0,2020,3,3,0,0,0,1,0,0,0,1,0
Afghanistan X 03/04/20,1,0,0,2020,3,4,0,0,0,1,0,0,0,1,0
Afghanistan X 03/05/20,1,0,0,2020,3,5,0,0,0,1,0,0,0,1,0
Afghanistan X 03/06/20,1,0,0,2020,3,6,0,0,0,1,0,0,0,1,0
Afghanistan X 03/07/20,1,0,0,2020,3,7,0,0,0,1,0,0,0,1,0
Afghanistan X 03/08/20,4,0,0,2020,3,8,0,0,0,1,0,0,0,1,0
Afghanistan X 03/09/20,4,0,0,2020,3,9,0,0,0,1,0,0,0,1,0
Afghanistan X 03/10/20,5,0,0,2020,3,10,0,0,0,1,0,0,0,1,0
Afghanistan X 03/11/20,7,0,0,2020,3,11,0,0,0,1,0,0,0,1,0
Afghanistan X 03/12/20,7,0,0,2020,3,12,0,0,0,1,0,0,0,1,0
Afghanistan X 03/13/20,7,0,0,2020,3,13,0,0,0,1,0,0,0,1,0
Afghanistan X 03/14/20,11,0,0,2020,3,14,0,0,0,1,0,0,0,1,0
Afghanistan X 03/15/20,16,0,0,2020,3,15,0,0,0,1,0,0,0,1,0
Afghanistan X 03/16/20,21,1,0,2020,3,16,0,0,0,1,0,0,0,1,0
Afghanistan X 03/17/20,22,1,0,2020,3,17,0,0,0,1,0,0,0,1,0
Afghanistan X 03/18/20,22,1,0,2020,3,18,0,0,0,1,0,0,0,1,0
Afghanistan X 03/19/20,22,1,0,2020,3,19,0,0,0,1,0,0,0,1,0
